state,county,current_votes,total_votes,percent
Delaware,Kent County,84975,87025,100
Delaware,New Castle County,279462,287633,100
Delaware,Sussex County,126498,129352,100
Georgia,Appling County,8187,8341,100
Georgia,Atkinson County,3097,3155,100
Georgia,Bacon County,4590,4668,100
Georgia,Baker County,1534,1555,100
Georgia,Baldwin County,18082,18251,100
Georgia,Banks County,8725,8801,100
Georgia,Barrow County,37627,38017,100
Georgia,Bartow County,50034,50467,100
Georgia,Ben Hill County,6477,6560,100
Georgia,Berrien County,7650,7743,100
Georgia,Bibb County,69987,70802,100
Georgia,Bleckley County,5644,5706,100
Georgia,Brantley County,7616,7746,100
Georgia,Brooks County,6976,7100,100
Georgia,Bryan County,21163,21340,100
Georgia,Bulloch County,29793,30084,100
Georgia,Burke County,10560,10684,100
Georgia,Butts County,11690,11789,100
Georgia,Calhoun County,2172,2194,100
Georgia,Camden County,23349,23688,100
Georgia,Candler County,4370,4432,100
Georgia,Carroll County,53973,54474,100
Georgia,Catoosa County,32212,32692,100
Georgia,Charlton County,4477,4566,100
Georgia,Chatham County,131847,133420,100
Georgia,Chattahoochee County,1548,1590,100
Georgia,Chattooga County,9938,10050,100
Georgia,Cherokee County,143526,144830,100
Georgia,Clarke County,50950,51218,100
Georgia,Clay County,1416,1434,100
Georgia,Clayton County,111045,112344,100
Georgia,Clinch County,2797,2864,100
Georgia,Cobb County,390772,393744,100
Georgia,Coffee County,14991,15214,100
Georgia,Colquitt County,15891,16083,100
Georgia,Columbia County,79907,80579,100
Georgia,Cook County,6972,7035,100
Georgia,Coweta County,76122,76799,100
Georgia,Crawford County,6026,6102,100
Georgia,Crisp County,7980,8052,100
Georgia,Dade County,7332,7434,100
Georgia,Dawson County,15924,16081,100
Georgia,Decatur County,11449,11627,100
Georgia,DeKalb County,367643,370675,100
Georgia,Dodge County,7952,8070,100
Georgia,Dooly County,4059,4105,100
Georgia,Dougherty County,34911,35311,100
Georgia,Douglas County,68441,69097,100
Georgia,Early County,5105,5187,100
Georgia,Echols County,1418,1441,100
Georgia,Effingham County,31319,31624,100
Georgia,Elbert County,9075,9171,100
Georgia,Emanuel County,9368,9501,100
Georgia,Evans County,4191,4247,100
Georgia,Fannin County,14686,14850,100
Georgia,Fayette County,71470,71993,100
Georgia,Floyd County,41288,38588,100
Georgia,Forsyth County,128267,129305,100
Georgia,Franklin County,10659,10786,100
Georgia,Fulton County,520778,524659,100
Georgia,Gilmer County,16307,16525,100
Georgia,Glascock County,1540,1566,100
Georgia,Glynn County,41468,41984,100
Georgia,Gordon County,23766,24033,100
Georgia,Grady County,10580,10707,100
Georgia,Greene County,11162,11247,100
Georgia,Gwinnett County,411206,413865,100
Georgia,Habersham County,20259,20432,100
Georgia,Hall County,89787,90523,100
Georgia,Hancock County,4097,4165,100
Georgia,Haralson County,14135,14272,100
Georgia,Harris County,19854,19991,100
Georgia,Hart County,12532,12727,100
Georgia,Heard County,5333,5397,100
Georgia,Henry County,121709,122742,100
Georgia,Houston County,74162,74823,100
Georgia,Irwin County,4144,4168,100
Georgia,Jackson County,37383,37670,100
