state,total_votes
Delaware,504010
District of Columbia,344356
Florida,11067456
Georgia,4997716
Hawaii,574469
Idaho,868106
Illinois,6038843
Indiana,3033198
Iowa,1690871
Kansas,1375304
Kentucky,2136768
Louisiana,2148062
Maine,819461
Maryland,3037030
Massachusetts,3631402
Michigan,5539302
Minnesota,3277171
Mississippi,1315182
Missouri,3025962
Montana,605750
Nebraska,956379
Nevada,1405376
New Hampshire,804430
New Jersey,4564234
New Mexico,923965
New York,8613546
North Carolina,5524801
North Dakota,361819
Ohio,5922202
Oklahoma,1560699
Oregon,2374321
Pennsylvania,6925255
Rhode Island,517757
South Carolina,2513329
South Dakota,422609
Tennessee,3054534
Texas,11317911
Utah,1488289
Vermont,367428
Virginia,4460524
Washington,4087631
West Virginia,794652
Wisconsin,3297352
Wyoming,276765
Alabama,2323304
Alaska,359530
Arkansas,1219069
California,17495906
Colorado,3256953
Connecticut,1824280
United States,158432595
Arizona,3387326
