state,county,candidate,party,total_votes
Delaware,Kent County,Lauren Witzke,REP,38571
Delaware,Kent County,Mark Turley,IPD,1553
Delaware,Kent County,Nadine Frost,LIB,958
Delaware,New Castle County,Lauren Witzke,REP,80081
Delaware,New Castle County,Mark Turley,IPD,4277
Delaware,New Castle County,Nadine Frost,LIB,3330
Delaware,Sussex County,Christopher Coons,DEM,56137
Delaware,Sussex County,Mark Turley,IPD,2003
Delaware,Sussex County,Nadine Frost,LIB,956
Georgia,Appling County,Jon Ossoff,DEM,1753
Georgia,Appling County,Shane Hazel,LIB,128
Georgia,Atkinson County,Jon Ossoff,DEM,773
Georgia,Atkinson County,Shane Hazel,LIB,52
Georgia,Atkinson County, Write-ins,WRI,0
Georgia,Bacon County,Jon Ossoff,DEM,591
Georgia,Bacon County,Shane Hazel,LIB,70
Georgia,Baker County,Jon Ossoff,DEM,648
Georgia,Baker County,Shane Hazel,LIB,13
Georgia,Baldwin County,Jon Ossoff,DEM,8783
Georgia,Baldwin County,Shane Hazel,LIB,426
Georgia,Banks County,Jon Ossoff,DEM,899
Georgia,Banks County,Shane Hazel,LIB,190
Georgia,Barrow County,Jon Ossoff,DEM,10066
Georgia,Barrow County,Shane Hazel,LIB,1193
Georgia,Barrow County, Write-ins,WRI,51
Georgia,Bartow County,Jon Ossoff,DEM,11664
Georgia,Bartow County,Shane Hazel,LIB,1361
Georgia,Ben Hill County,Jon Ossoff,DEM,2284
Georgia,Ben Hill County,Shane Hazel,LIB,116
Georgia,Berrien County,Jon Ossoff,DEM,1204
Georgia,Berrien County,Shane Hazel,LIB,160
Georgia,Bibb County,David Perdue,REP,26645
Georgia,Bibb County,Shane Hazel,LIB,1414
Georgia,Bleckley County,Jon Ossoff,DEM,1249
Georgia,Bleckley County,Shane Hazel,LIB,114
Georgia,Brantley County,Jon Ossoff,DEM,688
Georgia,Brantley County,Shane Hazel,LIB,116
Georgia,Brooks County,Jon Ossoff,DEM,2607
Georgia,Brooks County,Shane Hazel,LIB,119
Georgia,Bryan County,Jon Ossoff,DEM,6497
Georgia,Bryan County,Shane Hazel,LIB,599
Georgia,Bulloch County,Jon Ossoff,DEM,10846
Georgia,Bulloch County,Shane Hazel,LIB,715
Georgia,Burke County,Jon Ossoff,DEM,4989
Georgia,Burke County,Shane Hazel,LIB,164
Georgia,Butts County,Jon Ossoff,DEM,3129
Georgia,Butts County,Shane Hazel,LIB,215
Georgia,Butts County, Write-ins,WRI,17
Georgia,Calhoun County,David Perdue,REP,933
Georgia,Calhoun County,Shane Hazel,LIB,28
Georgia,Camden County,Jon Ossoff,DEM,7467
Georgia,Camden County,Shane Hazel,LIB,895
Georgia,Candler County,Jon Ossoff,DEM,1233
Georgia,Candler County,Shane Hazel,LIB,60
Georgia,Candler County, Write-ins,WRI,0
Georgia,Carroll County,Jon Ossoff,DEM,15549
Georgia,Carroll County,Shane Hazel,LIB,1427
Georgia,Catoosa County,Jon Ossoff,DEM,6599
Georgia,Catoosa County,Shane Hazel,LIB,1004
Georgia,Catoosa County, Write-ins,WRI,38
Georgia,Charlton County,Jon Ossoff,DEM,1016
Georgia,Charlton County,Shane Hazel,LIB,104
Georgia,Chatham County,David Perdue,REP,52988
Georgia,Chatham County,Shane Hazel,LIB,2986
Georgia,Chatham County, Write-ins,WRI,0
Georgia,Chattahoochee County,Jon Ossoff,DEM,636
Georgia,Chattahoochee County,Shane Hazel,LIB,60
Georgia,Chattahoochee County, Write-ins,WRI,2
Georgia,Chattooga County,Jon Ossoff,DEM,1886
Georgia,Chattooga County,Shane Hazel,LIB,275
Georgia,Cherokee County,Jon Ossoff,DEM,39928
Georgia,Cherokee County,Shane Hazel,LIB,4214
Georgia,Clarke County,David Perdue,REP,15078
Georgia,Clarke County,Shane Hazel,LIB,1323
Georgia,Clay County,David Perdue,REP,647
Georgia,Clay County,Shane Hazel,LIB,21
Georgia,Clayton County,David Perdue,REP,14841
Georgia,Clayton County,Shane Hazel,LIB,2505
Georgia,Clinch County,Jon Ossoff,DEM,660
Georgia,Clinch County,Shane Hazel,LIB,54
Georgia,Cobb County,David Perdue,REP,169658
Georgia,Cobb County,Shane Hazel,LIB,10263
Georgia,Coffee County,Jon Ossoff,DEM,4281
Georgia,Coffee County,Shane Hazel,LIB,286
Georgia,Colquitt County,Jon Ossoff,DEM,3990
Georgia,Colquitt County,Shane Hazel,LIB,257
Georgia,Columbia County,Jon Ossoff,DEM,27759
Georgia,Columbia County,Shane Hazel,LIB,1928
Georgia,Cook County,Jon Ossoff,DEM,1963
Georgia,Cook County,Shane Hazel,LIB,145
Georgia,Coweta County,Jon Ossoff,DEM,22915
Georgia,Coweta County,Shane Hazel,LIB,1908
Georgia,Crawford County,Jon Ossoff,DEM,1561
Georgia,Crawford County,Shane Hazel,LIB,135
Georgia,Crisp County,Jon Ossoff,DEM,2809
Georgia,Crisp County,Shane Hazel,LIB,105
Georgia,Crisp County, Write-ins,WRI,12
Georgia,Dade County,Jon Ossoff,DEM,1253
Georgia,Dade County,Shane Hazel,LIB,208
Georgia,Dawson County,Jon Ossoff,DEM,2289
Georgia,Dawson County,Shane Hazel,LIB,418
Georgia,Decatur County,Jon Ossoff,DEM,4563
Georgia,Decatur County,Shane Hazel,LIB,190
Georgia,DeKalb County,David Perdue,REP,61859
Georgia,DeKalb County,Shane Hazel,LIB,7305
Georgia,Dodge County,Jon Ossoff,DEM,2021
Georgia,Dodge County,Shane Hazel,LIB,138
Georgia,Dooly County,Jon Ossoff,DEM,1826
Georgia,Dooly County,Shane Hazel,LIB,75
Georgia,Dougherty County,David Perdue,REP,10588
Georgia,Dougherty County,Shane Hazel,LIB,502
Georgia,Dougherty County, Write-ins,WRI,0
Georgia,Douglas County,David Perdue,REP,25002
Georgia,Douglas County,Shane Hazel,LIB,1643
Georgia,Early County,Jon Ossoff,DEM,2232
Georgia,Early County,Shane Hazel,LIB,77
Georgia,Echols County,Jon Ossoff,DEM,162
Georgia,Echols County,Shane Hazel,LIB,24
Georgia,Effingham County,Jon Ossoff,DEM,7627
Georgia,Effingham County,Shane Hazel,LIB,828
Georgia,Effingham County, Write-ins,WRI,32
Georgia,Elbert County,Jon Ossoff,DEM,2717
Georgia,Elbert County,Shane Hazel,LIB,133
Georgia,Emanuel County,Jon Ossoff,DEM,2720
Georgia,Emanuel County,Shane Hazel,LIB,135
Georgia,Emanuel County, Write-ins,WRI,0
Georgia,Evans County,Jon Ossoff,DEM,1251
Georgia,Evans County,Shane Hazel,LIB,64
Georgia,Fannin County,Jon Ossoff,DEM,2415
Georgia,Fannin County,Shane Hazel,LIB,299
Georgia,Fayette County,Jon Ossoff,DEM,31477
Georgia,Fayette County,Shane Hazel,LIB,1590
Georgia,Floyd County,Jon Ossoff,DEM,11480
Georgia,Floyd County,Shane Hazel,LIB,1056
Georgia,Forsyth County,Jon Ossoff,DEM,39229
Georgia,Forsyth County,Shane Hazel,LIB,3386
Georgia,Franklin County,Jon Ossoff,DEM,1465
Georgia,Franklin County,Shane Hazel,LIB,187
Georgia,Franklin County, Write-ins,WRI,14
Georgia,Fulton County,David Perdue,REP,146466
Georgia,Fulton County,Shane Hazel,LIB,11043
Georgia,Gilmer County,Jon Ossoff,DEM,2715
Georgia,Gilmer County,Shane Hazel,LIB,386
Georgia,Glascock County,Jon Ossoff,DEM,150
Georgia,Glascock County,Shane Hazel,LIB,24
Georgia,Glynn County,Jon Ossoff,DEM,14938
Georgia,Glynn County,Shane Hazel,LIB,970
Georgia,Gordon County,Jon Ossoff,DEM,4182
Georgia,Gordon County,Shane Hazel,LIB,573
Georgia,Grady County,Jon Ossoff,DEM,3465
Georgia,Grady County,Shane Hazel,LIB,146
Georgia,Greene County,Jon Ossoff,DEM,3763
Georgia,Greene County,Shane Hazel,LIB,152
Georgia,Gwinnett County,David Perdue,REP,166754
Georgia,Gwinnett County,Shane Hazel,LIB,10901
Georgia,Habersham County,Jon Ossoff,DEM,3340
Georgia,Habersham County,Shane Hazel,LIB,534
Georgia,Hall County,Jon Ossoff,DEM,23487
Georgia,Hall County,Shane Hazel,LIB,2467
Georgia,Hancock County,David Perdue,REP,1173
Georgia,Hancock County,Shane Hazel,LIB,66
Georgia,Haralson County,Jon Ossoff,DEM,1764
Georgia,Haralson County,Shane Hazel,LIB,336
Georgia,Haralson County, Write-ins,WRI,19
Georgia,Harris County,Jon Ossoff,DEM,5192
Georgia,Harris County,Shane Hazel,LIB,383
Georgia,Hart County,Jon Ossoff,DEM,2937
Georgia,Hart County,Shane Hazel,LIB,218
Georgia,Heard County,Jon Ossoff,DEM,802
Georgia,Heard County,Shane Hazel,LIB,113
Georgia,Heard County, Write-ins,WRI,5
Georgia,Henry County,David Perdue,REP,47486
Georgia,Henry County,Shane Hazel,LIB,2631
Georgia,Houston County,Jon Ossoff,DEM,30955
Georgia,Houston County,Shane Hazel,LIB,1779
Georgia,Irwin County,Jon Ossoff,DEM,982
Georgia,Irwin County,Shane Hazel,LIB,67
Georgia,Jackson County,Jon Ossoff,DEM,7262
Georgia,Jackson County,Shane Hazel,LIB,955
Georgia,Jasper County,Jon Ossoff,DEM,1690
Georgia,Jasper County,Shane Hazel,LIB,151
Georgia,Jeff Davis County,Jon Ossoff,DEM,1013
Georgia,Jeff Davis County,Shane Hazel,LIB,111
Georgia,Jefferson County,David Perdue,REP,3539
Georgia,Jefferson County,Shane Hazel,LIB,102
Georgia,Jenkins County,Jon Ossoff,DEM,1194
Georgia,Jenkins County,Shane Hazel,LIB,51
